,level,yearsofexperience,yearsatcompany,distance_NY,bonus,stockgrantvalue,distance_SF,distance_seattle
81,60.0,2.0,1.0,4606061.0,6.0,12.0,1296231.0,798.0
82,3.0,9.0,7.0,815229.0,12.0,0.0,4560441.0,4618606.0
83,59.0,0.0,0.0,4584771.0,21.0,30.0,1302957.0,16830.0
84,3.0,4.0,3.0,1401271.0,20.0,20.0,3993295.0,4238922.0
85,4.0,2.0,2.0,4680488.0,12.0,37.0,110.0,1297072.0
86,62.0,8.0,3.0,665996.0,15.0,11.0,4139678.0,4075614.0
87,5.0,5.0,0.0,4680488.0,0.0,0.0,110.0,1297072.0
88,4.0,2.0,1.0,10007.0,0.0,0.0,4668727.0,4588148.0
89,2.0,5.0,0.0,4606061.0,20.0,0.0,1296231.0,798.0
90,6.0,10.0,4.0,2085043.0,30.0,35.0,2977204.0,3297849.0
91,5.0,7.0,0.0,4680488.0,40.0,180.0,110.0,1297072.0
92,5.0,6.0,0.0,4606061.0,14.0,20.0,1296231.0,798.0
93,6.0,10.0,2.0,4680488.0,40.0,90.0,110.0,1297072.0
94,5.0,6.0,6.0,4733749.0,0.0,0.0,61440.0,1350659.0
95,5.0,6.0,6.0,4733749.0,0.0,0.0,61440.0,1350659.0
96,5.0,5.0,3.0,4606061.0,0.0,80.0,1296231.0,798.0
97,24.0,5.0,2.0,4733129.0,14.0,28.0,75992.0,1349713.0
98,4.0,20.0,2.5,4680488.0,0.0,0.0,110.0,1297072.0
99,5.0,4.0,1.0,4489857.0,0.0,0.0,685025.0,1896722.0
100,5.0,2.0,2.0,2809697.0,12.0,5.0,2829143.0,3429762.0
101,5.0,2.0,2.0,2809697.0,12.0,5.0,2829143.0,3429762.0
102,4.0,6.0,2.0,4747337.0,20.0,100.0,68680.0,1366197.0
103,4.0,3.0,2.0,4493846.0,0.0,0.0,613268.0,1827242.0
104,3.0,2.0,1.0,4680488.0,0.0,0.0,110.0,1297072.0
105,3.0,0.0,0.0,4727625.0,10.0,25.0,48377.0,1346485.0
106,1.0,0.0,0.5,4680488.0,7.0,43.0,110.0,1297072.0
107,4.0,1.0,0.0,4523564.0,4.0,0.0,629415.0,1843388.0
108,5.0,5.0,4.0,1276254.0,0.0,0.0,3422402.0,3321648.0
109,5.0,3.0,2.0,4732087.0,16.0,100.0,63524.0,1348731.0
110,5.0,4.0,3.0,4733749.0,0.0,0.0,61440.0,1350659.0
111,5.0,4.0,1.0,4606061.0,22.0,7.0,1296231.0,798.0
112,61.0,0.0,0.0,4586918.0,39.0,45.0,1305104.0,15513.0
113,7.0,3.0,3.0,340801.0,10.0,5.0,4977621.0,4897718.0
114,66.0,18.0,1.0,4584771.0,45.0,100.0,1302957.0,16830.0
115,60.0,0.0,0.2,4584771.0,37.0,38.0,1302957.0,16830.0
116,5.0,10.0,3.0,4731642.0,0.0,105.0,52394.0,1350502.0
117,2.0,3.0,3.0,2871490.0,0.0,0.0,1993967.0,2100165.0
118,5.0,4.0,1.0,4606061.0,0.0,0.0,1296231.0,798.0
119,3.0,4.0,0.0,4680488.0,25.0,93.0,110.0,1297072.0
120,5.0,8.0,2.0,4680488.0,0.0,90.0,110.0,1297072.0
121,4.0,6.0,2.0,4733749.0,80.0,0.0,61440.0,1350659.0
122,5.0,5.0,1.0,4733749.0,22.0,50.0,61440.0,1350659.0
123,4.0,3.0,2.0,4731642.0,15.0,57.0,52394.0,1350502.0
124,5.0,4.0,4.0,4680488.0,0.0,0.0,110.0,1297072.0
125,4.0,2.0,2.0,10007.0,0.0,0.0,4668727.0,4588148.0
126,3.0,0.0,1.0,4680488.0,0.0,35.0,110.0,1297072.0
127,6.0,4.0,0.0,4698504.0,15.0,2.0,1042472.0,309771.0
128,25.0,2.0,2.0,4733129.0,14.0,20.0,75992.0,1349713.0
129,4.0,13.0,13.0,4732030.0,20.0,15.0,70973.0,1350890.0
130,13.0,1.0,1.0,10007.0,0.0,0.0,4668727.0,4588148.0
131,5.0,4.0,1.0,4731642.0,30.0,6.0,52394.0,1350502.0
132,4.0,1.0,2.0,4680488.0,8.0,0.0,110.0,1297072.0
133,4.0,2.0,1.0,4680488.0,15.0,135.0,110.0,1297072.0
134,5.0,1.0,1.0,4680488.0,0.0,0.0,110.0,1297072.0
135,5.0,3.0,0.0,1276254.0,30.0,0.0,3422402.0,3321648.0
136,3.0,1.0,4.0,4747337.0,16.0,80.0,68680.0,1366197.0
137,24.0,3.0,1.0,4733129.0,0.0,0.0,75992.0,1349713.0
138,3.0,3.0,2.0,4680488.0,15.0,50.0,110.0,1297072.0
139,5.0,5.0,1.0,4733749.0,21.0,21.0,61440.0,1350659.0
140,5.0,5.0,2.0,4741100.0,0.0,0.0,81028.0,1359960.0
141,61.0,0.0,0.0,4584771.0,10.0,20.0,1302957.0,16830.0
142,61.0,0.0,0.0,4584771.0,0.0,0.0,1302957.0,16830.0
143,4.0,8.0,0.0,4680488.0,0.0,0.0,110.0,1297072.0
144,62.0,7.0,1.0,4584771.0,0.0,60.0,1302957.0,16830.0
145,1.0,10.0,3.0,4606061.0,40.0,85.0,1296231.0,798.0
146,5.0,6.0,2.0,4732087.0,37.0,30.0,63524.0,1348731.0
147,5.0,10.0,3.0,4733129.0,25.0,35.0,75992.0,1349713.0
148,5.0,5.0,2.0,4680488.0,20.0,20.0,110.0,1297072.0
149,5.0,5.0,1.0,4680488.0,20.0,20.0,110.0,1297072.0
150,15.0,1.0,1.0,340801.0,8.0,0.0,4977621.0,4897718.0
151,3.0,3.0,0.0,4606061.0,22.0,28.0,1296231.0,798.0
152,6.0,9.0,4.0,2497842.0,0.0,0.0,2781310.0,3357137.0
153,4.0,2.0,1.5,866643.0,12.0,0.0,3929905.0,3900360.0
154,3.0,7.0,3.0,2867951.0,0.0,7.0,2119063.0,2226552.0
155,3.0,0.0,1.0,4606061.0,10.0,8.0,1296231.0,798.0
156,65.0,10.0,2.0,4586918.0,39.0,36.0,1305104.0,15513.0
157,60.0,0.0,0.0,4584771.0,8.0,25.0,1302957.0,16830.0
158,6.0,8.0,3.0,4733749.0,53.0,353.0,61440.0,1350659.0
159,59.0,0.0,0.0,665996.0,25.0,30.0,4139678.0,4075614.0
160,4.0,2.0,0.0,4680488.0,5.0,70.0,110.0,1297072.0
161,2.0,0.0,0.0,4680488.0,30.0,60.0,110.0,1297072.0
162,62.0,3.0,1.0,4665078.0,16.0,69.0,21018.0,1283938.0
163,63.0,10.0,4.0,4586918.0,32.0,23.0,1305104.0,15513.0
164,4.0,2.0,1.0,4606061.0,15.0,35.0,1296231.0,798.0
165,6.0,3.0,3.0,810167.0,0.0,0.0,4555319.0,4614774.0
166,5.0,3.0,2.0,2889247.0,20.0,55.0,2010343.0,2115866.0
167,6.0,2.0,2.0,10007.0,0.0,0.0,4668727.0,4588148.0
168,5.0,13.0,7.0,549822.0,12.0,0.0,4618252.0,4602683.0
169,62.0,3.0,1.0,4606061.0,14.0,100.0,1296231.0,798.0
170,3.0,4.0,2.0,4680488.0,0.0,0.0,110.0,1297072.0
171,59.0,1.0,1.0,4584771.0,0.0,0.0,1302957.0,16830.0
172,62.0,2.0,1.0,4606061.0,10.0,80.0,1296231.0,798.0
173,1.0,2.0,0.5,4732087.0,0.0,0.0,63524.0,1348731.0
174,62.0,0.0,2.0,4733749.0,0.0,0.0,61440.0,1350659.0
175,4.0,0.0,0.0,4733749.0,0.0,0.0,61440.0,1350659.0
176,60.0,1.0,0.0,4732087.0,20.0,20.0,63524.0,1348731.0
177,5.0,6.0,2.0,4606061.0,0.0,0.0,1296231.0,798.0
178,4.0,4.0,4.0,4733749.0,23.0,58.0,61440.0,1350659.0
179,8.0,5.0,2.0,4523564.0,14.0,0.0,629415.0,1843388.0
180,8.0,5.0,2.0,4523564.0,14.0,0.0,629415.0,1843388.0
181,6.0,5.0,4.0,4606061.0,0.0,0.0,1296231.0,798.0
182,4.0,3.0,1.0,4606061.0,20.0,16.0,1296231.0,798.0
183,4.0,4.0,2.5,4680488.0,17.0,0.0,110.0,1297072.0
184,3.0,0.0,0.3,4680488.0,12.0,26.0,110.0,1297072.0
185,9.0,4.0,1.0,4733129.0,25.0,15.0,75992.0,1349713.0
186,5.0,10.0,4.0,4733749.0,35.0,100.0,61440.0,1350659.0
187,5.0,1.0,0.0,4731642.0,130.0,17.0,52394.0,1350502.0
188,5.0,2.0,0.0,4733749.0,23.0,25.0,61440.0,1350659.0
189,4.0,3.0,1.0,4606061.0,0.0,0.0,1296231.0,798.0
190,62.0,5.0,5.0,4584771.0,0.0,0.0,1302957.0,16830.0
